Track,Composer,Milliseconds,Bytes,UnitPrice,Genre,Album,Artist,Minutes
Fear Is The Key,Bruce Dickinson/Janick Gers,335307,13414528.0,0.99,Rock,Fear Of The Dark,Iron Maiden,5.58845
Childhood's End,Steve Harris,280607,11225216.0,0.99,Rock,Fear Of The Dark,Iron Maiden,4.676783333333334
Wasting Love,Bruce Dickinson/Janick Gers,350981,14041216.0,0.99,Rock,Fear Of The Dark,Iron Maiden,5.849683333333333
The Fugitive,Steve Harris,294112,11765888.0,0.99,Rock,Fear Of The Dark,Iron Maiden,4.901866666666667
Chains Of Misery,Bruce Dickinson/David Murray,217443,8700032.0,0.99,Rock,Fear Of The Dark,Iron Maiden,3.62405
The Apparition,Janick Gers/Steve Harris,234605,9386112.0,0.99,Rock,Fear Of The Dark,Iron Maiden,3.910083333333333
Judas Be My Guide,Bruce Dickinson/David Murray,188786,7553152.0,0.99,Rock,Fear Of The Dark,Iron Maiden,3.1464333333333334
Weekend Warrior,Janick Gers/Steve Harris,339748,13594678.0,0.99,Rock,Fear Of The Dark,Iron Maiden,5.662466666666667
Fear Of The Dark,Steve Harris,436976,17483789.0,0.99,Rock,Fear Of The Dark,Iron Maiden,7.282933333333333
01 - Prowler,Steve Harris,236173,5668992.0,0.99,Blues,Iron Maiden,Iron Maiden,3.9362166666666667
02 - Sanctuary,David Murray/Paul Di'Anno/Steve Harris,196284,4712576.0,0.99,Blues,Iron Maiden,Iron Maiden,3.2714
03 - Remember Tomorrow,Harris/Paul Di´Anno,328620,7889024.0,0.99,Blues,Iron Maiden,Iron Maiden,5.477
04 - Running Free,Harris/Paul Di´Anno,197276,4739122.0,0.99,Blues,Iron Maiden,Iron Maiden,3.287933333333333
05 - Phantom of the Opera,Steve Harris,428016,10276872.0,0.99,Blues,Iron Maiden,Iron Maiden,7.1336
06 - Transylvania,Steve Harris,259343,6226048.0,0.99,Blues,Iron Maiden,Iron Maiden,4.322383333333334
07 - Strange World,Steve Harris,332460,7981184.0,0.99,Blues,Iron Maiden,Iron Maiden,5.541
08 - Charlotte the Harlot,Murray  Dave,252708,6066304.0,0.99,Blues,Iron Maiden,Iron Maiden,4.2118
09 - Iron Maiden,Steve Harris,216058,5189891.0,0.99,Blues,Iron Maiden,Iron Maiden,3.600966666666667
The Ides Of March,Steve Harris,105926,2543744.0,0.99,Heavy Metal,Killers,Iron Maiden,1.7654333333333334
Wrathchild,Steve Harris,174471,4188288.0,0.99,Heavy Metal,Killers,Iron Maiden,2.90785
Murders In The Rue Morgue,Steve Harris,258377,6205786.0,0.99,Heavy Metal,Killers,Iron Maiden,4.306283333333333
Another Life,Steve Harris,203049,4874368.0,0.99,Heavy Metal,Killers,Iron Maiden,3.38415
Genghis Khan,Steve Harris,187141,4493440.0,0.99,Heavy Metal,Killers,Iron Maiden,3.1190166666666665
Innocent Exile,Di´Anno/Harris,232515,5584861.0,0.99,Heavy Metal,Killers,Iron Maiden,3.87525
Killers,Steve Harris,300956,7227440.0,0.99,Heavy Metal,Killers,Iron Maiden,5.015933333333333
Prodigal Son,Steve Harris,372349,8937600.0,0.99,Heavy Metal,Killers,Iron Maiden,6.205816666666666
Purgatory,Steve Harris,200150,4804736.0,0.99,Heavy Metal,Killers,Iron Maiden,3.3358333333333334
Drifter,Steve Harris,288757,6934660.0,0.99,Heavy Metal,Killers,Iron Maiden,4.812616666666667
Intro- Churchill S Speech,,48013,1154488.0,0.99,Heavy Metal,Live After Death,Iron Maiden,0.8002166666666667
Aces High,,276375,6635187.0,0.99,Heavy Metal,Live After Death,Iron Maiden,4.60625
2 Minutes To Midnight,Smith/Dickinson,366550,8799380.0,0.99,Metal,Live After Death,Iron Maiden,6.109166666666667
The Trooper,Harris,268878,6455255.0,0.99,Metal,Live After Death,Iron Maiden,4.4813
Revelations,Dickinson,371826,8926021.0,0.99,Metal,Live After Death,Iron Maiden,6.1971
Flight Of Icarus,Smith/Dickinson,229982,5521744.0,0.99,Metal,Live After Death,Iron Maiden,3.8330333333333333
Rime Of The Ancient Mariner,,789472,18949518.0,0.99,Metal,Live After Death,Iron Maiden,13.157866666666667
Powerslave,,454974,10921567.0,0.99,Metal,Live After Death,Iron Maiden,7.5829
The Number Of The Beast,Harris,275121,6605094.0,0.99,Metal,Live After Death,Iron Maiden,4.58535
Hallowed Be Thy Name,Harris,451422,10836304.0,0.99,Metal,Live After Death,Iron Maiden,7.5237
Iron Maiden,Harris,261955,6289117.0,0.99,Metal,Live After Death,Iron Maiden,4.365916666666666
Run To The Hills,Harris,231627,5561241.0,0.99,Metal,Live After Death,Iron Maiden,3.86045
Running Free,Harris/Di Anno,204617,4912986.0,0.99,Metal,Live After Death,Iron Maiden,3.4102833333333336
Wrathchild,Steve Harris,183666,4410181.0,0.99,Heavy Metal,Live After Death,Iron Maiden,3.0611
Acacia Avenue,,379872,9119118.0,0.99,Heavy Metal,Live After Death,Iron Maiden,6.3312
Children Of The Damned,Steve Harris,278177,6678446.0,0.99,Heavy Metal,Live After Death,Iron Maiden,4.636283333333333
Die With Your Boots On,Adrian Smith/Bruce Dickinson/Steve Harris,314174,7542367.0,0.99,Heavy Metal,Live After Death,Iron Maiden,5.236233333333334
Phantom Of The Opera,Steve Harris,441155,10589917.0,0.99,Heavy Metal,Live After Death,Iron Maiden,7.3525833333333335
Be Quick Or Be Dead,,233142,5599853.0,0.99,Rock,Live At Donington 1992 (Disc 1),Iron Maiden,3.8857
The Number Of The Beast,,294008,7060625.0,0.99,Rock,Live At Donington 1992 (Disc 1),Iron Maiden,4.900133333333334
Wrathchild,,174106,4182963.0,0.99,Rock,Live At Donington 1992 (Disc 1),Iron Maiden,2.9017666666666666
From Here To Eternity,,284447,6831163.0,0.99,Rock,Live At Donington 1992 (Disc 1),Iron Maiden,4.740783333333333
Can I Play With Madness,,213106,5118995.0,0.99,Rock,Live At Donington 1992 (Disc 1),Iron Maiden,3.5517666666666665
Wasting Love,,336953,8091301.0,0.99,Rock,Live At Donington 1992 (Disc 1),Iron Maiden,5.615883333333334
Tailgunner,,247640,5947795.0,0.99,Rock,Live At Donington 1992 (Disc 1),Iron Maiden,4.1273333333333335
The Evil That Men Do,,478145,11479913.0,0.99,Rock,Live At Donington 1992 (Disc 1),Iron Maiden,7.969083333333334
Afraid To Shoot Strangers,,412525,9905048.0,0.99,Rock,Live At Donington 1992 (Disc 1),Iron Maiden,6.875416666666666
Fear Of The Dark,,431542,10361452.0,0.99,Rock,Live At Donington 1992 (Disc 1),Iron Maiden,7.192366666666667
Bring Your Daughter... To The Slaughter...,,376711,9045532.0,0.99,Rock,Live At Donington 1992 (Disc 2),Iron Maiden,6.2785166666666665
The Clairvoyant,,262426,6302648.0,0.99,Rock,Live At Donington 1992 (Disc 2),Iron Maiden,4.373766666666667
Heaven Can Wait,,440555,10577743.0,0.99,Rock,Live At Donington 1992 (Disc 2),Iron Maiden,7.342583333333334
Run To The Hills,,235859,5665052.0,0.99,Rock,Live At Donington 1992 (Disc 2),Iron Maiden,3.9309833333333333
2 Minutes To Midnight,Adrian Smith/Bruce Dickinson,338233,8122030.0,0.99,Rock,Live At Donington 1992 (Disc 2),Iron Maiden,5.637216666666666
Iron Maiden,,494602,11874875.0,0.99,Rock,Live At Donington 1992 (Disc 2),Iron Maiden,8.243366666666667
Hallowed Be Thy Name,,447791,10751410.0,0.99,Rock,Live At Donington 1992 (Disc 2),Iron Maiden,7.463183333333333
The Trooper,,232672,5588560.0,0.99,Rock,Live At Donington 1992 (Disc 2),Iron Maiden,3.877866666666667
Sanctuary,,318511,7648679.0,0.99,Rock,Live At Donington 1992 (Disc 2),Iron Maiden,5.308516666666667
Running Free,,474017,11380851.0,0.99,Rock,Live At Donington 1992 (Disc 2),Iron Maiden,7.900283333333333
Tailgunner,Bruce Dickinson/Steve Harris,255582,4089856.0,0.99,Metal,No Prayer For The Dying,Iron Maiden,4.2597
Holy Smoke,Bruce Dickinson/Steve Harris,229459,3672064.0,0.99,Metal,No Prayer For The Dying,Iron Maiden,3.824316666666667
No Prayer For The Dying,Steve Harris,263941,4225024.0,0.99,Metal,No Prayer For The Dying,Iron Maiden,4.399016666666666
Public Enema Number One,Bruce Dickinson/David Murray,254197,4071587.0,0.99,Metal,No Prayer For The Dying,Iron Maiden,4.2366166666666665
Fates Warning,David Murray/Steve Harris,250853,4018088.0,0.99,Metal,No Prayer For The Dying,Iron Maiden,4.180883333333333
The Assassin,Steve Harris,258768,4141056.0,0.99,Metal,No Prayer For The Dying,Iron Maiden,4.3128
Run Silent Run Deep,Bruce Dickinson/Steve Harris,275408,4407296.0,0.99,Metal,No Prayer For The Dying,Iron Maiden,4.590133333333333
Hooks In You,Adrian Smith/Bruce Dickinson,247510,3960832.0,0.99,Metal,No Prayer For The Dying,Iron Maiden,4.125166666666667
Bring Your Daughter... ...To The Slaughter,Bruce Dickinson,284238,4548608.0,0.99,Metal,No Prayer For The Dying,Iron Maiden,4.7373
Mother Russia,Steve Harris,332617,5322752.0,0.99,Metal,No Prayer For The Dying,Iron Maiden,5.543616666666667
Where Eagles Dare,Steve Harris,369554,5914624.0,0.99,Metal,Piece Of Mind,Iron Maiden,6.159233333333333
Revelations,Bruce Dickinson,408607,6539264.0,0.99,Metal,Piece Of Mind,Iron Maiden,6.810116666666667
Flight Of The Icarus,Adrian Smith/Bruce Dickinson,230269,3686400.0,0.99,Metal,Piece Of Mind,Iron Maiden,3.837816666666667
Die With Your Boots On,Adrian Smith/Bruce Dickinson/Steve Harris,325694,5212160.0,0.99,Metal,Piece Of Mind,Iron Maiden,5.428233333333333
The Trooper,Steve Harris,251454,4024320.0,0.99,Metal,Piece Of Mind,Iron Maiden,4.1909
Still Life,David Murray/Steve Harris,294347,4710400.0,0.99,Metal,Piece Of Mind,Iron Maiden,4.905783333333333
Quest For Fire,Steve Harris,221309,3543040.0,0.99,Metal,Piece Of Mind,Iron Maiden,3.688483333333333
Sun And Steel,Adrian Smith/Bruce Dickinson,206367,3306324.0,0.99,Metal,Piece Of Mind,Iron Maiden,3.43945
To Tame A Land,Steve Harris,445283,7129264.0,0.99,Metal,Piece Of Mind,Iron Maiden,7.421383333333333
Aces High,Harris,269531,6472088.0,0.99,Metal,Powerslave,Iron Maiden,4.492183333333333
2 Minutes To Midnight,Smith/Dickinson,359810,8638809.0,0.99,Metal,Powerslave,Iron Maiden,5.996833333333333
Losfer Words,Steve Harris,252891,6074756.0,0.99,Metal,Powerslave,Iron Maiden,4.21485
Flash of The Blade,Dickinson,242729,5828861.0,0.99,Metal,Powerslave,Iron Maiden,4.045483333333333
Duelists,Steve Harris,366471,8800686.0,0.99,Metal,Powerslave,Iron Maiden,6.10785
Back in the Village,Dickinson/Smith,320548,7696518.0,0.99,Metal,Powerslave,Iron Maiden,5.342466666666667
Powerslave,Dickinson,407823,9791106.0,0.99,Metal,Powerslave,Iron Maiden,6.79705
Rime of the Ancient Mariner,Harris,816509,19599577.0,0.99,Metal,Powerslave,Iron Maiden,13.608483333333334
Intro,,115931,4638848.0,0.99,Metal,Rock In Rio [CD1],Iron Maiden,1.9321833333333334
The Wicker Man,Adrian Smith/Bruce Dickinson/Steve Harris,281782,11272320.0,0.99,Metal,Rock In Rio [CD1],Iron Maiden,4.696366666666667
Ghost Of The Navigator,Bruce Dickinson/Janick Gers/Steve Harris,408607,16345216.0,0.99,Metal,Rock In Rio [CD1],Iron Maiden,6.810116666666667
Brave New World,Bruce Dickinson/David Murray/Steve Harris,366785,14676148.0,0.99,Metal,Rock In Rio [CD1],Iron Maiden,6.113083333333333
Wrathchild,Steve Harris,185808,7434368.0,0.99,Metal,Rock In Rio [CD1],Iron Maiden,3.0968
2 Minutes To Midnight,Adrian Smith/Bruce Dickinson,386821,15474816.0,0.99,Metal,Rock In Rio [CD1],Iron Maiden,6.447016666666666
Blood Brothers,Steve Harris,435513,17422464.0,0.99,Metal,Rock In Rio [CD1],Iron Maiden,7.25855
Sign Of The Cross,Steve Harris,649116,25966720.0,0.99,Metal,Rock In Rio [CD1],Iron Maiden,10.8186
The Mercenary,Janick Gers/Steve Harris,282697,11309184.0,0.99,Metal,Rock In Rio [CD1],Iron Maiden,4.711616666666667
The Trooper,Steve Harris,273528,10942592.0,0.99,Metal,Rock In Rio [CD1],Iron Maiden,4.5588
Dream Of Mirrors,Janick Gers/Steve Harris,578324,23134336.0,0.99,Rock,Rock In Rio [CD2],Iron Maiden,9.638733333333333
The Clansman,Steve Harris,559203,22370432.0,0.99,Rock,Rock In Rio [CD2],Iron Maiden,9.32005
The Evil That Men Do,Adrian Smith/Bruce Dickinson/Steve Harris,280737,11231360.0,0.99,Metal,Rock In Rio [CD2],Iron Maiden,4.67895
Fear Of The Dark,Steve Harris,460695,18430080.0,0.99,Rock,Rock In Rio [CD2],Iron Maiden,7.67825
Iron Maiden,Steve Harris,351869,14076032.0,0.99,Rock,Rock In Rio [CD2],Iron Maiden,5.864483333333333
The Number Of The Beast,Steve Harris,300434,12022107.0,0.99,Rock,Rock In Rio [CD2],Iron Maiden,5.007233333333334
Hallowed Be Thy Name,Steve Harris,443977,17760384.0,0.99,Rock,Rock In Rio [CD2],Iron Maiden,7.399616666666667
Sanctuary,David Murray/Paul Di'Anno/Steve Harris,317335,12695680.0,0.99,Rock,Rock In Rio [CD2],Iron Maiden,5.288916666666666
Run To The Hills,Steve Harris,292179,11688064.0,0.99,Rock,Rock In Rio [CD2],Iron Maiden,4.86965
Moonchild,Adrian Smith; Bruce Dickinson,340767,8179151.0,0.99,Metal,Seventh Son of a Seventh Son,Iron Maiden,5.67945
Infinite Dreams,Steve Harris,369005,8858669.0,0.99,Metal,Seventh Son of a Seventh Son,Iron Maiden,6.150083333333333
Can I Play With Madness,Adrian Smith; Bruce Dickinson; Steve Harris,211043,5067867.0,0.99,Metal,Seventh Son of a Seventh Son,Iron Maiden,3.5173833333333335
The Evil That Men Do,Adrian Smith; Bruce Dickinson; Steve Harris,273998,6578930.0,0.99,Metal,Seventh Son of a Seventh Son,Iron Maiden,4.566633333333334
Seventh Son of a Seventh Son,Steve Harris,593580,14249000.0,0.99,Metal,Seventh Son of a Seventh Son,Iron Maiden,9.893
The Prophecy,Dave Murray; Steve Harris,305475,7334450.0,0.99,Metal,Seventh Son of a Seventh Son,Iron Maiden,5.09125
The Clairvoyant,Adrian Smith; Bruce Dickinson; Steve Harris,267023,6411510.0,0.99,Metal,Seventh Son of a Seventh Son,Iron Maiden,4.450383333333333
Only the Good Die Young,Bruce Dickinson; Harris,280894,6744431.0,0.99,Metal,Seventh Son of a Seventh Son,Iron Maiden,4.681566666666667
Caught Somewhere in Time,Steve Harris,445779,10701149.0,0.99,Metal,Somewhere in Time,Iron Maiden,7.42965
Wasted Years,Adrian Smith,307565,7384358.0,0.99,Metal,Somewhere in Time,Iron Maiden,5.126083333333334
Sea of Madness,Adrian Smith,341995,8210695.0,0.99,Metal,Somewhere in Time,Iron Maiden,5.699916666666667
Heaven Can Wait,Steve Harris,441417,10596431.0,0.99,Metal,Somewhere in Time,Iron Maiden,7.35695
Stranger in a Strange Land,Adrian Smith,344502,8270899.0,0.99,Metal,Somewhere in Time,Iron Maiden,5.7417
Alexander the Great,Steve Harris,515631,12377742.0,0.99,Metal,Somewhere in Time,Iron Maiden,8.59385
De Ja Vu,David Murray/Steve Harris,296176,7113035.0,0.99,Metal,Somewhere in Time,Iron Maiden,4.936266666666667
The Loneliness of the Long Dis,Steve Harris,391314,9393598.0,0.99,Metal,Somewhere in Time,Iron Maiden,6.5219
22 Acacia Avenue,Adrian Smith/Steve Harris,395572,5542516.0,0.99,Metal,The Number of The Beast,Iron Maiden,6.592866666666667
Children of the Damned,Steve Harris,274364,3845631.0,0.99,Metal,The Number of The Beast,Iron Maiden,4.572733333333334
Gangland,Adrian Smith/Clive Burr/Steve Harris,228440,3202866.0,0.99,Metal,The Number of The Beast,Iron Maiden,3.8073333333333332
Hallowed Be Thy Name,Steve Harris,428669,6006107.0,0.99,Metal,The Number of The Beast,Iron Maiden,7.1444833333333335
Invaders,Steve Harris,203180,2849181.0,0.99,Metal,The Number of The Beast,Iron Maiden,3.3863333333333334
Run to the Hills,Steve Harris,228884,3209124.0,0.99,Metal,The Number of The Beast,Iron Maiden,3.8147333333333333
The Number Of The Beast,Steve Harris,293407,11737216.0,0.99,Rock,The Number of The Beast,Iron Maiden,4.890116666666667
The Prisoner,Adrian Smith/Steve Harris,361299,5062906.0,0.99,Metal,The Number of The Beast,Iron Maiden,6.02165
Sign Of The Cross,Steve Harris,678008,27121792.0,0.99,Rock,The X Factor,Iron Maiden,11.300133333333333
Lord Of The Flies,Janick Gers/Steve Harris,303699,12148864.0,0.99,Rock,The X Factor,Iron Maiden,5.06165
Man On The Edge,Blaze Bayley/Janick Gers,253413,10137728.0,0.99,Rock,The X Factor,Iron Maiden,4.22355
Fortunes Of War,Steve Harris,443977,17760384.0,0.99,Rock,The X Factor,Iron Maiden,7.399616666666667
Look For The Truth,Blaze Bayley/Janick Gers/Steve Harris,310230,12411008.0,0.99,Rock,The X Factor,Iron Maiden,5.1705
The Aftermath,Blaze Bayley/Janick Gers/Steve Harris,380786,15233152.0,0.99,Rock,The X Factor,Iron Maiden,6.346433333333334
Judgement Of Heaven,Steve Harris,312476,12501120.0,0.99,Rock,The X Factor,Iron Maiden,5.207933333333333
Blood On The World's Hands,Steve Harris,357799,14313600.0,0.99,Rock,The X Factor,Iron Maiden,5.963316666666667
The Edge Of Darkness,Blaze Bayley/Janick Gers/Steve Harris,399333,15974528.0,0.99,Rock,The X Factor,Iron Maiden,6.65555
2 A.M.,Blaze Bayley/Janick Gers/Steve Harris,337658,13511087.0,0.99,Rock,The X Factor,Iron Maiden,5.627633333333334
The Unbeliever,Janick Gers/Steve Harris,490422,19617920.0,0.99,Rock,The X Factor,Iron Maiden,8.1737
Futureal,Blaze Bayley/Steve Harris,175777,7032960.0,0.99,Rock,Virtual XI,Iron Maiden,2.9296166666666665
The Angel And The Gambler,Steve Harris,592744,23711872.0,0.99,Rock,Virtual XI,Iron Maiden,9.879066666666667
Lightning Strikes Twice,David Murray/Steve Harris,290377,11616384.0,0.99,Rock,Virtual XI,Iron Maiden,4.839616666666666
The Clansman,Steve Harris,539689,21592327.0,0.99,Rock,Virtual XI,Iron Maiden,8.994816666666667
When Two Worlds Collide,Blaze Bayley/David Murray/Steve Harris,377312,15093888.0,0.99,Rock,Virtual XI,Iron Maiden,6.2885333333333335
The Educated Fool,Steve Harris,404767,16191616.0,0.99,Rock,Virtual XI,Iron Maiden,6.7461166666666665
Don't Look To The Eyes Of A Stranger,Steve Harris,483657,19347584.0,0.99,Rock,Virtual XI,Iron Maiden,8.06095
Como Estais Amigos,Blaze Bayley/Janick Gers,330292,13213824.0,0.99,Rock,Virtual XI,Iron Maiden,5.504866666666667
Please Please Please,James Brown/Johnny Terry,165067,5394585.0,0.99,R&B/Soul,Sex Machine,James Brown,2.751116666666667
Think,Lowman Pauling,166739,5513208.0,0.99,R&B/Soul,Sex Machine,James Brown,2.778983333333333
Night Train,Jimmy Forrest/Lewis C. Simpkins/Oscar Washington,212401,7027377.0,0.99,R&B/Soul,Sex Machine,James Brown,3.540016666666667
Out Of Sight,Ted Wright,143725,4711323.0,0.99,R&B/Soul,Sex Machine,James Brown,2.3954166666666667
Papa's Got A Brand New Bag Pt.1,James Brown,127399,4174420.0,0.99,R&B/Soul,Sex Machine,James Brown,2.1233166666666667
I Got You (I Feel Good),James Brown,167392,5468472.0,0.99,R&B/Soul,Sex Machine,James Brown,2.7898666666666667
It's A Man's Man's Man's World,Betty Newsome/James Brown,168228,5541611.0,0.99,R&B/Soul,Sex Machine,James Brown,2.8038
Cold Sweat,Alfred Ellis/James Brown,172408,5643213.0,0.99,R&B/Soul,Sex Machine,James Brown,2.873466666666667
"Say It Loud, I'm Black And I'm Proud Pt.1",Alfred Ellis/James Brown,167392,5478117.0,0.99,R&B/Soul,Sex Machine,James Brown,2.7898666666666667
Get Up (I Feel Like Being A) Sex Machine,Bobby Byrd/James Brown/Ron Lenhoff,316551,10498031.0,0.99,R&B/Soul,Sex Machine,James Brown,5.27585
Hey America,Addie William Jones/Nat Jones,218226,7187857.0,0.99,R&B/Soul,Sex Machine,James Brown,3.6371
Make It Funky Pt.1,Charles Bobbitt/James Brown,196231,6507782.0,0.99,R&B/Soul,Sex Machine,James Brown,3.2705166666666665
I'm A Greedy Man Pt.1,Charles Bobbitt/James Brown,217730,7251211.0,0.99,R&B/Soul,Sex Machine,James Brown,3.628833333333333
Get On The Good Foot,Fred Wesley/James Brown/Joseph Mims,215902,7182736.0,0.99,R&B/Soul,Sex Machine,James Brown,3.5983666666666667
Get Up Offa That Thing,Deanna Brown/Deidra Jenkins/Yamma Brown,250723,8355989.0,0.99,R&B/Soul,Sex Machine,James Brown,4.178716666666666
It's Too Funky In Here,Brad Shapiro/George Jackson/Robert Miller/Walter Shaw,239072,7973979.0,0.99,R&B/Soul,Sex Machine,James Brown,3.9845333333333333
Living In America,Charlie Midnight/Dan Hartman,282880,9432346.0,0.99,R&B/Soul,Sex Machine,James Brown,4.714666666666667
I'm Real,Full Force/James Brown,334236,11183457.0,0.99,R&B/Soul,Sex Machine,James Brown,5.5706
Hot Pants Pt.1,Fred Wesley/James Brown,188212,6295110.0,0.99,R&B/Soul,Sex Machine,James Brown,3.1368666666666667
Soul Power (Live),James Brown,260728,8593206.0,0.99,R&B/Soul,Sex Machine,James Brown,4.345466666666667
When You Gonna Learn (Digeridoo),"Jay Kay/Kay, Jay",230635,7655482.0,0.99,Rock,Emergency On Planet Earth,Jamiroquai,3.843916666666667
Too Young To Die,"Smith, Toby",365818,12391660.0,0.99,Rock,Emergency On Planet Earth,Jamiroquai,6.096966666666667
Hooked Up,"Smith, Toby",275879,9301687.0,0.99,Rock,Emergency On Planet Earth,Jamiroquai,4.5979833333333335
"If I Like It, I Do It","Gelder, Nick van",293093,9848207.0,0.99,Rock,Emergency On Planet Earth,Jamiroquai,4.884883333333334
Music Of The Wind,"Smith, Toby",383033,12870239.0,0.99,Rock,Emergency On Planet Earth,Jamiroquai,6.383883333333333
Emergency On Planet Earth,"Smith, Toby",245263,8117218.0,0.99,Rock,Emergency On Planet Earth,Jamiroquai,4.087716666666667
"Whatever It Is, I Just Can't Stop","Jay Kay/Kay, Jay",247222,8249453.0,0.99,Rock,Emergency On Planet Earth,Jamiroquai,4.1203666666666665
Blow Your Mind,"Smith, Toby",512339,17089176.0,0.99,Rock,Emergency On Planet Earth,Jamiroquai,8.538983333333332
Revolution 1993,"Smith, Toby",616829,20816872.0,0.99,Rock,Emergency On Planet Earth,Jamiroquai,10.280483333333333
Didgin' Out,"Buchanan, Wallis",157100,5263555.0,0.99,Rock,Emergency On Planet Earth,Jamiroquai,2.618333333333333
Canned Heat,Jay Kay,331964,11042037.0,0.99,R&B/Soul,Synkronized,Jamiroquai,5.532733333333334
Planet Home,Jay Kay/Toby Smith,284447,9566237.0,0.99,R&B/Soul,Synkronized,Jamiroquai,4.740783333333333
Black Capricorn Day,Jay Kay,341629,11477231.0,0.99,R&B/Soul,Synkronized,Jamiroquai,5.693816666666667
Soul Education,Jay Kay/Toby Smith,255477,8575435.0,0.99,R&B/Soul,Synkronized,Jamiroquai,4.25795
Failling,Jay Kay/Toby Smith,225227,7503999.0,0.99,R&B/Soul,Synkronized,Jamiroquai,3.7537833333333332
Destitute Illusions,Derrick McKenzie/Jay Kay/Toby Smith,340218,11452651.0,0.99,R&B/Soul,Synkronized,Jamiroquai,5.6703
Supersonic,Jay Kay,315872,10699265.0,0.99,R&B/Soul,Synkronized,Jamiroquai,5.2645333333333335
Butterfly,Jay Kay/Toby Smith,268852,8947356.0,0.99,R&B/Soul,Synkronized,Jamiroquai,4.4808666666666666
Were Do We Go From Here,Jay Kay,313626,10504158.0,0.99,R&B/Soul,Synkronized,Jamiroquai,5.2271
King For A Day,Jay Kay/Toby Smith,221544,7335693.0,0.99,R&B/Soul,Synkronized,Jamiroquai,3.6924
Deeper Underground,Toby Smith,281808,9351277.0,0.99,R&B/Soul,Synkronized,Jamiroquai,4.6968
Just Another Story,Toby Smith,529684,17582818.0,0.99,Electronica/Dance,The Return Of The Space Cowboy,Jamiroquai,8.828066666666667
Stillness In Time,Toby Smith,257097,8644290.0,0.99,Electronica/Dance,The Return Of The Space Cowboy,Jamiroquai,4.28495
Half The Man,Toby Smith,289854,9577679.0,0.99,Electronica/Dance,The Return Of The Space Cowboy,Jamiroquai,4.8309
Light Years,Toby Smith,354560,11796244.0,0.99,Electronica/Dance,The Return Of The Space Cowboy,Jamiroquai,5.9093333333333335
Manifest Destiny,Toby Smith,382197,12676962.0,0.99,Electronica/Dance,The Return Of The Space Cowboy,Jamiroquai,6.36995
The Kids,Toby Smith,309995,10334529.0,0.99,Electronica/Dance,The Return Of The Space Cowboy,Jamiroquai,5.1665833333333335
Mr. Moon,Stuard Zender/Toby Smith,329534,11043559.0,0.99,Electronica/Dance,The Return Of The Space Cowboy,Jamiroquai,5.492233333333333
Scam,Stuart Zender,422321,14019705.0,0.99,Electronica/Dance,The Return Of The Space Cowboy,Jamiroquai,7.038683333333333
Journey To Arnhemland,Toby Smith/Wallis Buchanan,322455,10843832.0,0.99,Electronica/Dance,The Return Of The Space Cowboy,Jamiroquai,5.37425
Morning Glory,J. Kay/Jay Kay,384130,12777210.0,0.99,Electronica/Dance,The Return Of The Space Cowboy,Jamiroquai,6.402166666666667
Space Cowboy,J. Kay/Jay Kay,385697,12906520.0,0.99,Electronica/Dance,The Return Of The Space Cowboy,Jamiroquai,6.428283333333333
Last Chance,C. Cester/C. Muncey,112352,3683130.0,0.99,Alternative & Punk,Get Born,JET,1.8725333333333334
Are You Gonna Be My Girl,C. Muncey/N. Cester,213890,6992324.0,0.99,Alternative & Punk,Get Born,JET,3.5648333333333335
Rollover D.J.,C. Cester/N. Cester,196702,6406517.0,0.99,Alternative & Punk,Get Born,JET,3.278366666666667
Look What You've Done,N. Cester,230974,7517083.0,0.99,Alternative & Punk,Get Born,JET,3.8495666666666666
Get What You Need,C. Cester/C. Muncey/N. Cester,247719,8043765.0,0.99,Alternative & Punk,Get Born,JET,4.12865
Move On,C. Cester/N. Cester,260623,8519353.0,0.99,Alternative & Punk,Get Born,JET,4.3437166666666664
Radio Song,C. Cester/C. Muncey/N. Cester,272117,8871509.0,0.99,Alternative & Punk,Get Born,JET,4.535283333333333
Get Me Outta Here,C. Cester/N. Cester,176274,5729098.0,0.99,Alternative & Punk,Get Born,JET,2.9379
Cold Hard Bitch,C. Cester/C. Muncey/N. Cester,243278,7929610.0,0.99,Alternative & Punk,Get Born,JET,4.054633333333333
Come Around Again,C. Muncey/N. Cester,270497,8872405.0,0.99,Alternative & Punk,Get Born,JET,4.508283333333333
Take It Or Leave It,C. Muncey/N. Cester,142889,4643370.0,0.99,Alternative & Punk,Get Born,JET,2.381483333333333
Lazy Gun,C. Cester/N. Cester,282174,9186285.0,0.99,Alternative & Punk,Get Born,JET,4.7029
Timothy,C. Cester,270341,8856507.0,0.99,Alternative & Punk,Get Born,JET,4.505683333333334
Foxy Lady,Jimi Hendrix,199340,6480896.0,0.99,Rock,Are You Experienced?,Jimi Hendrix,3.3223333333333334
Manic Depression,Jimi Hendrix,222302,7289272.0,0.99,Rock,Are You Experienced?,Jimi Hendrix,3.705033333333333
Red House,Jimi Hendrix,224130,7285851.0,0.99,Rock,Are You Experienced?,Jimi Hendrix,3.7355
Can You See Me,Jimi Hendrix,153077,4987068.0,0.99,Rock,Are You Experienced?,Jimi Hendrix,2.551283333333333
Love Or Confusion,Jimi Hendrix,193123,6329408.0,0.99,Rock,Are You Experienced?,Jimi Hendrix,3.2187166666666664
